subject_id,time,readgrp,sex,age,basmat,bassim,basdig,basnum,basread,basspel,trog,woco,bpvs,basmat_next,bassim_next,basdig_next,basnum_next,basread_next,basspel_next,trog_next,woco_next,bpvs_next,basmat_gain,bassim_gain,basdig_gain,basnum_gain,basread_gain,basspel_gain,trog_gain,woco_gain,bpvs_gain
ID_192917798CFBBFA4,1,1,1,59,,0,0,0,0,0,2,0,6,,0,0,2,0,0,2,0,7,,0,0,2,0,0,0,0,1
ID_192917798CFBBFA4,2,1,1,68,,0,0,2,0,0,2,0,7,2,0,4,6,2,0,2,0,7,,0,4,4,2,0,0,0,0
ID_192917798CFBBFA4,3,1,1,79,2,0,4,6,2,0,2,0,7,2,0,3,3,14,0,3,0,7,0,0,-1,-3,12,0,1,0,0
ID_192917798CFBBFA4,4,1,1,91,2,0,3,3,14,0,3,0,7,,,,,,,,,,,,,,,,,,
ID_192917798CFBBFA4,5,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID_19368385D85583BA,1,1,0,84,,1,4,6,0,0,3,0,9,,0,4,6,0,0,7,0,8,,-1,0,0,0,0,4,0,-1
ID_19368385D85583BA,2,1,0,94,,0,4,6,0,0,7,0,8,2,0,6,11,0,0,7,0,15,,0,2,5,0,0,0,0,7
ID_19368385D85583BA,3,1,0,105,2,0,6,11,0,0,7,0,15,2,5,8,11,11,0,8,1,12,0,5,2,0,11,0,1,1,-3
ID_19368385D85583BA,4,1,0,120,2,5,8,11,11,0,8,1,12,5,6,9,,6,1,10,0,16,3,1,1,,-5,1,2,-1,4
ID_19368385D85583BA,5,1,0,127,5,6,9,,6,1,10,0,16,,,,,,,,,,,,,,,,,,
ID_1EB5AFB11CF58A00,1,1,0,128,,7,13,19,42,12,7,8,10,,5,12,29,52,9,7,11,10,,-2,-1,10,10,-3,0,3,0
ID_1EB5AFB11CF58A00,2,1,0,140,,5,12,29,52,9,7,11,10,3,5,15,20,59,11,9,8,12,,0,3,-9,7,2,2,-3,2
ID_1EB5AFB11CF58A00,3,1,0,152,3,5,15,20,59,11,9,8,12,8,6,13,28,69,15,7,11,12,5,1,-2,8,10,4,-2,3,0
ID_1EB5AFB11CF58A00,4,1,0,164,8,6,13,28,69,15,7,11,12,8,6,13,,63,14,9,5,11,0,0,0,,-6,-1,2,-6,-1
ID_1EB5AFB11CF58A00,5,1,0,173,8,6,13,,63,14,9,5,11,,,,,,,,,,,,,,,,,,
ID_25873B41B04B6AE6,1,1,0,150,,6,7,16,24,6,9,3,15,,7,8,18,26,5,10,4,14,,1,1,2,2,-1,1,1,-1
