,count,mean,std,min,25%,50%,75%,max,range,range_std,coef_var,entropy,skew,kurtosis,shapiro_stat,shapiro_pvalue,shapiro_normality
time,485.0,3.0,1.4156737729452216,1.0,2.0,3.0,4.0,5.0,4.0,2.8255097158989164,0.47189125764840717,1.212652306044403,0.0,-1.3010283240122678,0.8877247090832817,2.5377081135969094e-18,False
readgrp,485.0,2.0721649484536084,0.7503087887802707,1.0,2.0,2.0,3.0,3.0,2.0,2.6655692028495,0.3620893159785386,0.7546277524828694,-0.11872260798360035,-1.213770228804209,0.8070920952257665,1.2485759374204342e-23,False
sex,485.0,0.4536082474226804,0.4983571887061982,0.0,0.0,0.0,1.0,1.0,1.0,2.0065929069792965,1.0986510751023006,0.37094534883427505,0.18694964971856823,-1.9732038612115128,0.6334019322190063,7.214816687862739e-31,False
age,341.0,105.47214076246334,22.655539858630824,55.0,88.0,105.0,121.0,176.0,121.0,5.340857059908197,0.21480117588258665,1.4097417087240083,0.15763121288326895,-0.25970546888230395,0.9937171191479846,0.16916258539821177,True
basmat,156.0,7.153846153846154,5.539481571357059,0.0,2.0,5.5,11.0,22.0,22.0,3.9714907824145813,0.7743361336305565,1.2705120689588725,0.841771374298385,-0.04286223512778342,0.9101649316680174,3.189666357238753e-08,False
bassim,336.0,7.851190476190476,4.654819208317116,0.0,5.0,8.0,11.0,18.0,18.0,3.8669600675012346,0.5928806876400876,1.302510140009703,-0.23386009798906854,-0.7665552153340984,0.9499350032828834,2.8709080457281864e-09,False
basdig,338.0,15.405325443786982,6.674160815718243,0.0,10.0,16.0,21.0,34.0,34.0,5.094273413359621,0.43323724903260347,1.3576833588337485,-0.1411008618828552,-0.6455999561958015,0.9748184553433806,1.243981666531509e-05,False
basnum,315.0,32.01904761904762,15.709128113821318,0.0,18.5,34.0,46.0,60.0,60.0,3.8194353986591,0.4906182189028074,1.337888591287061,-0.23111781423140013,-1.0679075281331696,0.9597029586305348,1.231079224882864e-07,False
basread,340.0,40.28823529411765,27.072706266741054,0.0,15.0,37.5,64.0,87.0,87.0,3.2135686452181513,0.6719754804126119,1.27080139573877,0.16162088719593265,-1.3289918869041066,0.9310494803076561,1.9468667172919497e-11,False
basspel,328.0,7.2073170731707314,5.1479346052937,0.0,3.0,6.5,12.0,18.0,18.0,3.4965479129222667,0.7142650382979414,1.312263787333163,0.2242991856700514,-1.1682991386932982,0.9388382871155259,2.2040168437779634e-10,False
trog,336.0,12.922619047619047,5.083185067804098,0.0,9.0,14.0,17.0,20.0,20.0,3.934540988223328,0.3933556385956188,1.2667613947450764,-0.4959617834456068,-0.8816992660111111,0.9244111879074364,5.36213862167849e-12,False
woco,340.0,9.882352941176471,8.740995217776346,0.0,1.0,9.0,17.0,31.0,31.0,3.5465069168503907,0.8845054684654635,1.2038050905128026,0.38286616232734005,-1.2000855925245515,0.8968272125305936,2.0192078882449266e-14,False
bpvs,332.0,15.813253012048193,5.039548032397034,4.0,12.0,16.0,20.0,29.0,25.0,4.96076232219358,0.31869141842967913,1.3929440909432513,-0.018385842004133148,-0.5724333451796784,0.9857050552800013,0.002261532504727809,False
basmat_next,156.0,7.153846153846154,5.539481571357059,0.0,2.0,5.5,11.0,22.0,22.0,3.9714907824145813,0.7743361336305565,1.2705120689588725,0.841771374298385,-0.04286223512778342,0.9101649316680174,3.189666357238753e-08,False
bassim_next,243.0,8.329218106995885,4.793962521635347,0.0,6.0,9.0,12.0,18.0,18.0,3.75472272024766,0.575559729623216,1.3020729210509825,-0.3370905308952502,-0.737975493141446,0.9441006198992725,5.087485060353315e-08,False
basdig_next,244.0,15.795081967213115,6.820374372247895,0.0,10.0,17.0,21.0,34.0,34.0,4.98506359685269,0.43180367068720454,1.3520165692713895,-0.175048238125279,-0.7450311043033695,0.9713733456822385,7.907885992821423e-05,False
basnum_next,224.0,34.14732142857143,15.924167040448138,0.0,19.75,36.0,48.0,60.0,60.0,3.767857988904359,0.46633722278211304,1.3129014740950302,-0.3850401259460379,-1.0117602778688481,0.9460520640571833,2.1559011337828552e-07,False
basread_next,244.0,45.24590163934426,26.393605496745938,0.0,21.75,47.5,70.25,87.0,87.0,3.2962529507659046,0.5833369330802545,1.2870410079288033,-0.032283259227456645,-1.346137063478829,0.9357423919106923,7.708619561250828e-09,False
basspel_next,242.0,7.913223140495868,5.1641830988678565,0.0,4.0,7.0,13.0,17.0,17.0,3.2919049682275805,0.6526017284208988,1.3209591900842501,0.05894704531796984,-1.2346135129385492,0.9420978305267709,3.41018619570773e-08,False
trog_next,242.0,13.400826446280991,5.061497258803413,1.0,9.0,15.0,18.0,20.0,19.0,3.7538299496168817,0.37770038132298056,1.230319157994663,-0.5770786663386741,-0.8583633923531866,0.905374624672057,3.143052354819134e-11,False
woco_next,243.0,11.242798353909466,8.759097961293417,0.0,2.0,11.0,19.0,31.0,31.0,3.5391772231557925,0.7790852139803441,1.2621663839340536,0.17552144173205633,-1.266384899360282,0.9214756045921122,4.883346316689001e-10,False
bpvs_next,244.0,16.385245901639344,4.99208710702643,4.0,13.0,17.0,20.0,28.0,24.0,4.80760841817437,0.30466964835278865,1.3959113268418455,-0.14611012854925837,-0.5253805553920401,0.9848908040896087,0.01092708823651386,False
basmat_gain,75.0,2.08,2.841583114145105,-4.0,0.0,1.0,4.0,9.0,13.0,4.574914573248748,1.3661457279543774,1.376652927672139,0.4832049846099325,-0.33488441808429137,0.9587443748185548,0.01549803084829505,False
bassim_gain,236.0,1.305084745762712,1.8497083131811416,-4.0,0.0,1.0,2.0,8.0,12.0,6.487509362685576,1.4173089672426928,1.3446795159377725,0.7333412697550256,0.6991225639428107,0.9337797465308688,8.049626866948987e-09,False
basdig_gain,238.0,1.3277310924369747,2.8746212187020928,-6.0,-1.0,1.0,3.0,14.0,20.0,6.957438381753165,2.165062816617399,1.3838695072922809,0.4220544378973943,1.4125677988403966,0.970886400301423,8.440027387640957e-05,False
basnum_gain,215.0,4.758139534883721,4.654122509730403,-9.0,2.0,5.0,8.0,20.0,29.0,6.231034945764646,0.978139139386155,1.399463375474119,0.2738211807775976,0.3912035471431765,0.9877603451323946,0.06225832613245291,True
