model_id,status,tracking_issue,old_config_sha256,old_trace_sha256_recorded,new_n_obs,new_m,new_L,new_center,new_exposure_mean,new_exposure_sd,new_commit,new_config_sha256,new_trace_sha256,hsgp_basis_version,target_accept,gate_passed,divergences,publishable,held_out_evaluation
lrp-rli-mech-058,refit complete 2026-09-08 under midpoint-half-range-v1,660,6318bff34bcd94ec53e28f6a7e58566a99a04e20caed6b6f07b6fc03e911c6d3,67c7daf197c6d83cf04ad80ad738d5c744a8058bf6c3e5422f806d0563476905,156,6,3.4926532306440516,-0.1513996506347024,1.0535135175578332,1.4335426638684254,173dc0aa217df80b30c1c78d338ab8fcf49eec60,ae5fe888e5e8b0919f64525ac803fdc71141f7e6a9522a2328ea5f0fc8d9bf8b,80e0e03763b6884fae54f28533bce64f2a0fff5dba28e4d73fb5e2914cd1bb59,midpoint-half-range-v1,0.999,True,0,True,"mechanism_loo_compare.csv: psis+reloo, valid=True, n_exact_refits=1"
lrp-rli-mech-061,refit complete 2026-09-08 under midpoint-half-range-v1,660,620e12480154916dc84b4460f66402c63e4e7d9e67a55039bb49eedc0477e71c,70f67a5f02456414acd3e5e5766a2cf7b33e47e59f2939da74fbff444d818348,156,6,3.4926532306440516,-0.1513996506347024,1.0535135175578332,1.4335426638684254,173dc0aa217df80b30c1c78d338ab8fcf49eec60,5c84b57e03e6a75461ec82cefebb67bfb6a357110312dfb7cb09c9f73e96ebac,a32e4a3da58bc78b662185318bf73bf5c40a45148f1b99cf4d95100e0711df17,midpoint-half-range-v1,0.999,True,0,True,"joint_readiness_lxb_w_loo_compare.csv: psis+reloo, valid=True, n_exact_refits=1"
lrp-rli-mech-063,refit complete 2026-09-08 under midpoint-half-range-v1,660,7a50676a749f3f3d0fc0bfefd7b46a4f992f4e3c51e0c7c967abbe4e49f47b89,acae173230149342143119fc9b53f56f73cd6079d5fd8ce7ae989581778bc514,155,6,3.55302846314423,-0.17029229787489797,1.0764486754242657,1.4091830302410076,173dc0aa217df80b30c1c78d338ab8fcf49eec60,29febe8514d4746f281bcd9d89c089e6021dfa64f07626d36509252bf9151fa1,cc246dad2ae8a694852a5751bb852a47e653b63b3af0c5f616c09940a860eedf,midpoint-half-range-v1,0.999,True,0,True,"joint_readiness_lxn_w_loo_compare.csv: psis+reloo, valid=True, n_exact_refits=1"
lrp-rli-mech-071,refit complete 2026-09-08 under midpoint-half-range-v1,660,2ee8aa0a9d1ca369616709443faa745a1f3dc530cc96ba5e1b3776a602fbb494,63f014edaf6cc5975325c61f125017a76bea8df50652bcd06b164d6129f8c6f1,156,6,3.4926532306440516,-0.1513996506347024,1.0535135175578332,1.4335426638684254,173dc0aa217df80b30c1c78d338ab8fcf49eec60,cfecf92dd57a3286f1390bc8c750172d9d2667c0e2319611c550a534c568fb15,d74423211b0a7be59fd6534fc8b435309870dae6d5c62f5781904888beaad8ef,midpoint-half-range-v1,0.999,True,0,True,"mechanism_loo_compare.csv: psis+reloo, valid=True, n_exact_refits=1"
lrp-rli-mech-073,refit complete 2026-09-08 under midpoint-half-range-v1,660,50ff092ddf8a4d0aaae7be8a343417a301c6304871c43099428cb7042c7e3167,ea95244c0ac8a765c73b478cb05ccde4b5d5a16b47f748c3cad34b6f23d204de,156,10,3.4926532306440516,-0.1513996506347024,1.0535135175578332,1.4335426638684254,173dc0aa217df80b30c1c78d338ab8fcf49eec60,a63fde7183518e7b91ccdc29dca215a9ad68a164586904c42c1e66fb072ec2c2,06e2e7565ee903a2ce9fa5fc3a474aebf381c8cf6dfb104b5c5e2e60ff4f8320,midpoint-half-range-v1,0.95,True,0,True,no nested comparator registered; per-fit PSIS-LOO only
lrp-rli-mech-093,refit complete 2026-09-08 under midpoint-half-range-v1,660,20fca850335938803c4c3245e5604712f755e0983179bfd17817a2f2140b47b4,3beda47f66ca30c04e851be346b4e623a9d61240297475ebb4493f39f40147e7,156,6,3.4926532306440516,-0.1513996506347024,1.0535135175578332,1.4335426638684254,173dc0aa217df80b30c1c78d338ab8fcf49eec60,5e1f241b511925569f60361b1772a9c7f224ca3b3d96d991018a381aab359fb2,9c6abc6387080b697df494ef479b304bdd56e31a0a1d3319aff1ce412524839e,midpoint-half-range-v1,0.999,True,0,True,no nested comparator registered; per-fit PSIS-LOO only
lrp-rli-mech-094,refit complete 2026-09-08 under midpoint-half-range-v1,660,5461c4d48a804b253eb6fd6f18986391257cea910fd235eeb5e361bc1a28ce76,6b9dd2fca3c37ea6a4fa0b57880d597258671322e9d2dee0519e7f8efaa11f3f,156,6,3.4926532306440516,-0.1513996506347024,1.0535135175578332,1.4335426638684254,173dc0aa217df80b30c1c78d338ab8fcf49eec60,8d204c568ba7b2347ca5c8db3609704a0386529ee7af1e74d758aba079131da4,9e3051a0e38ce8221d927aefe3f782ff395d9740d105c1800928f0dcea2783d0,midpoint-half-range-v1,0.999,True,0,True,no nested comparator registered; per-fit PSIS-LOO only
lrp-rli-mech-095,refit complete 2026-09-08 under midpoint-half-range-v1,660,58d95599cc8b51271fdc5780a6e08448066c6754efa57ce3e3efe590abe05bcf,a15d73d1abeb2c39ee904bdff0cbc2efcf9b4ff6ac066161686f5a2cc137fe4b,156,6,3.4926532306440516,-0.1513996506347024,1.0535135175578332,1.4335426638684254,173dc0aa217df80b30c1c78d338ab8fcf49eec60,8d7c323402eb0b9e28bf040556dd5ba16ec3a8848223d4aeaa50099f9fd232ce,166e6d9dd05fdcd4cf0a3b4cd7182faa540e04cc7e87a1b526b2c4cffa8e917a,midpoint-half-range-v1,0.999,True,0,True,no nested comparator registered; per-fit PSIS-LOO only
lrp-rli-mech-104,refit complete 2026-09-08 under midpoint-half-range-v1,660,7f36d09800c1572221451058fefb6f3ba4cce2a99ea73e20927cdb87cec2000c,93b0fdf646be86ab5bb7fa1364a565c944371dd2defe40f1f316311f21bfdeed,147,10,3.487896065070687,-0.1763253353135079,1.089590304573952,1.435497882625314,173dc0aa217df80b30c1c78d338ab8fcf49eec60,1fa7516310fd120fd14267b29388d5fa40d1eb5003f4adbe5f14ab46c3d43815,5b3aea0a656a82bef91c2d9f680ac200c88f5eddccfccd934065b69da260a82f,midpoint-half-range-v1,0.98,True,0,True,"rw_moderation_loo_compare.csv: psis+reloo, valid=True, n_exact_refits=1"
lrp-rli-mech-156,refit complete 2026-09-08 under midpoint-half-range-v1,660,39fa12495103839bbb877789b9ddc12125df62ac93410c56bde642e93f35707d,eb400c33372055126bee99bbef630c5cb296add060a6bdc6fa509573e4d8e97c,157,6,3.987171896498965,-0.39548160256593445,-1.1213816709403035,0.46458149180334796,173dc0aa217df80b30c1c78d338ab8fcf49eec60,800860dcbcc0df3186fe888d983bf3b67995b53756ee91a84f2d3d88effb2bfb,24cf70b459e4d810e63e2086a6940b68d562af932fa23aba39ae2ba52a0a719e,midpoint-half-range-v1,0.999,True,0,True,no nested comparator registered; per-fit PSIS-LOO only
