model,arm,objective,alpha,n_estimators,num_leaves,learning_rate,oof_mae,oof_rmse,oof_r2,oof_medae,in_sample_r2
lrp-rli-gbl-012,registry,mae,,11,19,0.1645585730292784,6.15204519306333,9.450985964824284,0.5775082218109111,3.4131157965997296,0.8281635143785472
lrp-rli-gbl-012,mae,mae,,19,24,0.0895840536355184,6.370302073423119,9.955446112805637,0.5312022945786528,3.3840412936337163,0.7376432505203498
lrp-rli-gbl-012,huber,huber,12.96,54,40,0.049545479156936786,6.060443123740857,8.766287813558456,0.6365074819913774,3.677168274160993,0.9338377008550762
lrp-rli-gbl-012,l2,regression,,13,48,0.18507939821615854,6.185618398597617,8.719601900701688,0.640368818181106,3.792723756233727,0.9427170293165054
lrp-rli-gbl-012,poisson,poisson,,56,30,0.09978135075882487,5.988634847258995,8.90618378330862,0.6248133895957511,3.1373995296060935,0.9584672418656025
lrp-rli-gbl-013,registry,mae,,118,17,0.04811059604375191,0.8621511680699562,1.3749932504150717,0.43596874081120063,0.45948298107877283,0.6891971895051316
lrp-rli-gbl-013,mae,mae,,200,40,0.023212994659940932,0.8473247312368781,1.3501890938679109,0.45613484800411463,0.37820831365418245,0.6781819837385712
lrp-rli-gbl-013,huber,huber,1.67,139,47,0.03307105372036622,0.9131959380454603,1.3069458015890134,0.4904143414031972,0.5725006864439197,0.7994200117113786
lrp-rli-gbl-013,l2,regression,,218,53,0.013101467631806588,0.9483854140235671,1.3095500764423254,0.48838147464886805,0.6379210137210768,0.8077320926338434
lrp-rli-gbl-013,poisson,poisson,,312,42,0.02164392947648504,0.943786374882372,1.403568638436068,0.41228151217584386,0.5127356976703095,0.8934313687474693
lrp-rli-gbl-006,registry,mae,,103,20,0.09552591224037643,6.069633078996047,7.65916372524091,0.708826099715224,5.146829840722926,0.9586933773493861
lrp-rli-gbl-006,mae,mae,,562,59,0.010597340563256638,5.961207617854172,7.583509700909173,0.7145498795084648,5.026838656379184,0.9401929164840187
lrp-rli-gbl-006,huber,huber,17.95,103,8,0.037087204070660865,5.931529474528936,7.489790007426151,0.721561670003759,5.064031709446596,0.9451911091567138
lrp-rli-gbl-006,l2,regression,,137,8,0.027772227303893005,5.629613443011651,7.226430007602197,0.7407986025754867,4.791566972650941,0.933866293411685
lrp-rli-gbl-006,poisson,poisson,,843,52,0.010694822740163031,5.674027580382778,7.230387652626692,0.7405146150399196,4.675010156615194,0.9374090381576772
lrp-rli-gbg-012,registry,mae,,193,48,0.10459380307614677,2.9811969860453247,4.156942124059371,0.08298999800000773,2.059763566006579,0.29977934698354025
lrp-rli-gbg-012,mae,mae,,327,41,0.04489667550866148,2.971875546089388,4.16894805176957,0.07768539949368669,1.9905510983692198,0.25533107449637404
lrp-rli-gbg-012,huber,huber,3.99,94,19,0.12487862871154017,3.011140958670713,4.024645121668838,0.1404298995073726,2.3327853501929736,0.49452319324507577
lrp-rli-gbg-012,l2,regression,,43,16,0.09006653390933221,3.1013109207236234,4.120977220240705,0.09878887472478448,2.402404416334253,0.49189411858783616
