model,arm_a,arm_b,rho
lrp-rli-gbl-012,registry,mae,0.53
lrp-rli-gbl-012,registry,huber,0.7
lrp-rli-gbl-012,registry,l2,0.59
lrp-rli-gbl-012,registry,poisson,0.68
lrp-rli-gbl-012,mae,huber,0.65
lrp-rli-gbl-012,mae,l2,0.4
lrp-rli-gbl-012,mae,poisson,0.58
lrp-rli-gbl-012,huber,l2,0.75
lrp-rli-gbl-012,huber,poisson,0.65
lrp-rli-gbl-012,l2,poisson,0.54
lrp-rli-gbl-013,registry,mae,0.69
lrp-rli-gbl-013,registry,huber,0.6
lrp-rli-gbl-013,registry,l2,0.48
lrp-rli-gbl-013,registry,poisson,0.45
lrp-rli-gbl-013,mae,huber,0.68
lrp-rli-gbl-013,mae,l2,0.57
lrp-rli-gbl-013,mae,poisson,0.55
lrp-rli-gbl-013,huber,l2,0.87
lrp-rli-gbl-013,huber,poisson,0.65
lrp-rli-gbl-013,l2,poisson,0.67
lrp-rli-gbl-006,registry,mae,0.81
lrp-rli-gbl-006,registry,huber,0.83
lrp-rli-gbl-006,registry,l2,0.74
lrp-rli-gbl-006,registry,poisson,0.85
lrp-rli-gbl-006,mae,huber,0.79
lrp-rli-gbl-006,mae,l2,0.86
lrp-rli-gbl-006,mae,poisson,0.91
lrp-rli-gbl-006,huber,l2,0.83
lrp-rli-gbl-006,huber,poisson,0.87
lrp-rli-gbl-006,l2,poisson,0.89
lrp-rli-gbg-012,registry,mae,0.95
lrp-rli-gbg-012,registry,huber,0.59
lrp-rli-gbg-012,registry,l2,0.53
lrp-rli-gbg-012,mae,huber,0.66
lrp-rli-gbg-012,mae,l2,0.59
lrp-rli-gbg-012,huber,l2,0.58
