model_id,old_objective,old_n_estimators,old_num_leaves,old_learning_rate,old_oof_rmse,old_oof_mae,old_oof_r2,new_objective,alpha,alpha_source,new_n_estimators,new_num_leaves,new_max_depth,new_learning_rate,new_min_child_samples,tune_cv_rmse_mean,tune_cv_rmse_std,n_trials,flags,status
lrp-rli-gbg-001,mae,131,12,0.0347582835056579,2.752618796480822,2.1115209423252788,0.24069156320221852,huber,3.9881939999999996,mad,310,37,11,0.011165720021047947,12,2.45232234414585,1.1089431644162724,150,,tuned
lrp-rli-gbg-002,mae,130,9,0.055509040295441216,2.8462203325643713,2.1709637228688576,0.1539209745567095,huber,3.9881939999999996,mad,114,46,6,0.03305359111691265,17,2.6370405535513917,1.3836375223741584,150,,tuned
lrp-rli-gbg-003,mae,366,62,0.0452552675311885,1.7574066344268104,1.334481651742981,0.08487512445892564,huber,1.9940969999999998,mad,59,62,8,0.16204239038650206,39,1.498942966375108,0.846405398629071,150,num_leaves@high;colsample_bytree@low,tuned
lrp-rli-gbg-004,mae,597,53,0.010518099280120749,1.4325348125113686,1.0678301782181165,0.13455694274053265,huber,1.9940969999999998,mad,53,51,11,0.19393288859786456,38,1.254649160504469,0.68573330405467,150,learning_rate@high,tuned
lrp-rli-gbg-005,mae,52,45,0.033583242538720685,9.155094074430787,7.007416255191603,0.11065534076636052,huber,9.970484999999998,mad,66,48,6,0.15484591361429514,39,8.012307928548434,3.980594440684289,150,,tuned
lrp-rli-gbg-006,mae,192,52,0.010015643165526266,6.708450028968729,5.128495896484059,0.08014593266049441,huber,7.976387999999999,mad,77,63,12,0.02128898434653502,4,5.9082396584897365,3.1688427316052903,150,num_leaves@high;max_depth@high;min_child_samples@low,tuned
lrp-rli-gbg-007,mae,164,14,0.10221151099025785,4.30286033562575,3.4424745537785406,0.06469473736126674,huber,6.979339499999999,mad,251,10,6,0.03147277019144279,33,3.866699977895136,1.549037906827124,150,colsample_bytree@high,tuned
lrp-rli-gbg-008,mae,86,44,0.03181238295963342,3.9876961016476904,3.0710926559637524,0.1563677901420445,huber,4.985242499999999,mad,168,14,5,0.032072258095754425,23,3.616633300119704,1.9390837570385497,150,,tuned
lrp-rli-gbg-009,mae,184,60,0.01699899204903742,4.464229128320049,3.316466167274055,0.236610157460877,huber,5.982290999999999,mad,181,51,10,0.0147576273215656,13,3.8762251835918335,1.9079967630888783,150,,tuned
lrp-rli-gbg-010,mae,310,38,0.010714935008511606,2.029307607758153,1.5077832540740645,0.10729248026766913,huber,1.9940969999999998,mad,170,49,5,0.028554158042751736,16,1.8007628207030106,0.9237393935684804,150,,tuned
