model_id,status,new_commit,new_dirty,new_objective,alpha,new_trees,new_oof_r2,new_oof_rmse,new_oof_mae,new_in_sample_r2,new_top5,new_top1_sign,new_n_z2,new_replicated,old_trees,old_oof_r2,old_oof_rmse,old_oof_mae,old_in_sample_r2,d_oof_r2,d_oof_rmse,d_oof_mae,rho_perm,top1_same,top5_overlap,old_top5,old_replicated,sign_flips_z2
lrp-rli-gbg-001,ok,4b04455a,False,huber,3.9881939999999996,310,0.26231365649171046,2.7131439108362483,2.0840169627406007,0.6185025008981493,"b1retau, rowpvt, yarclet, b1exto, age",-,4,"b1exto, b1retau, rowpvt, yarclet",131,0.24069156320221852,2.752618796480822,2.1115209423252788,0.6018078193067216,0.02162209328949194,-0.03947488564457391,-0.027503979584678095,0.7757352941176471,True,5,"b1retau, rowpvt, age, b1exto, yarclet","age, b1retau, rowpvt",-
lrp-rli-gbg-002,ok,4b04455a,False,huber,3.9881939999999996,114,0.13171703416222968,2.8833256327664296,2.1759783454540003,0.5692798726529205,"b1extau, eowpvt, erbword, blending, deappvo",-,4,"b1extau, eowpvt",130,0.1539209745567095,2.8462203325643713,2.1709637228688576,0.6610929149288495,-0.022203940394479815,0.03710530020205827,0.005014622585142625,0.5775401069518717,True,4,"b1extau, deappvo, eowpvt, erbword, deappfi","b1extau, deappvo, eowpvt",-
lrp-rli-gbg-003,ok,4b04455a,False,huber,1.9940969999999998,59,0.1026003546483718,1.740303637653571,1.3141930756871338,0.4001065797069052,"b1rent, area, spphon, aptinfo, rowpvt",-,1,b1rent,366,0.08487512445892564,1.7574066344268104,1.334481651742981,0.41041125618794605,0.01772523018944616,-0.017102996773239454,-0.020288576055847107,0.4196891191709845,True,4,"b1rent, mumedupost16, area, rowpvt, spphon",b1rent,-
lrp-rli-gbg-004,ok,4b04455a,False,huber,1.9940969999999998,53,0.0651330366737366,1.4888839282660202,1.1033480992800575,0.40247691950875863,"b1exnt, aptinfo, nonword, yarclet, ewrswr",-,2,"aptinfo, b1exnt",597,0.13455694274053265,1.4325348125113686,1.0678301782181165,0.3213452783312971,-0.06942390606679605,0.056349115754651624,0.03551792106194096,0.6603143130670476,True,4,"b1exnt, aptinfo, yarclet, celf, nonword","aptinfo, b1exnt",-
lrp-rli-gbg-005,ok,4b04455a,False,huber,9.970484999999998,66,0.12808302483568168,9.064948207599095,7.183979039434884,0.32024532145696505,"rowpvt, b1reto, agebooks, b1exto, trog",-,2,"b1reto, rowpvt",52,0.11065534076636052,9.155094074430787,7.007416255191603,0.42458043153034664,0.01742768406932116,-0.09014586683169235,0.17656278424328065,0.6004350652785005,True,3,"rowpvt, celf, b1reto, dadedupost16, trog",rowpvt,-
lrp-rli-gbg-006,ok,4b04455a,False,huber,7.976387999999999,77,0.07084335096685646,6.742286329787041,5.125208476774405,0.6906077954359897,"eowpvt, deappvo, trog, aptinfo, aptgram",-,3,"deappvo, eowpvt",192,0.08014593266049441,6.708450028968729,5.128495896484059,0.5054235708742902,-0.009302581693637957,0.03383630081831246,-0.0032874197096539604,0.5588235294117647,True,4,"eowpvt, deappvo, aptinfo, trog, b1reto","aptinfo, deappvo, eowpvt, trog",-
lrp-rli-gbg-007,ok,4b04455a,False,huber,6.979339499999999,251,0.16035492053200917,4.076884749112753,3.256995764547586,0.5140507335669053,"aptinfo, area, b1reto, ewrswr, erbword",-,2,"aptinfo, area",164,0.06469473736126674,4.30286033562575,3.4424745537785406,0.5219882830696214,0.09566018317074243,-0.22597558651299732,-0.18547878923095462,0.7734603519943499,True,5,"aptinfo, erbword, b1reto, area, ewrswr",aptinfo,-
lrp-rli-gbg-008,ok,4b04455a,False,huber,4.985242499999999,168,0.11542472144774163,4.083314926963067,3.1426144904280635,0.4345671269887178,"aptgram, erbword, trog, blending, spphon",-,4,"aptgram, erbword",86,0.1563677901420445,3.9876961016476904,3.0710926559637524,0.4702970045551721,-0.040943068694302864,0.09561882531537647,0.07152183446431115,0.6036096256684492,True,4,"aptgram, spphon, erbword, trog, age","aptgram, erbword, spphon, trog",-
lrp-rli-gbg-009,ok,4b04455a,False,huber,5.982290999999999,181,0.24123019871324414,4.45069985276729,3.305217692536131,0.6312302421633733,"yarclet, deappfi, age, dadedupost16, group",-,3,"dadedupost16, deappfi, yarclet",184,0.236610157460877,4.464229128320049,3.316466167274055,0.5528133372210939,0.004620041252367146,-0.013529275552759401,-0.01124847473792423,0.7199197860962567,True,4,"yarclet, deappfi, group, dadedupost16, celf",yarclet,-
lrp-rli-gbg-010,ok,4b04455a,False,huber,1.9940969999999998,170,0.15614773198575338,1.9729973319779308,1.5347881034285247,0.5650351398633564,"blending, erbnw, eowpvt, rowpvt, deappin",-,3,"blending, eowpvt, erbnw",310,0.10729248026766913,2.029307607758153,1.5077832540740645,0.2877323179315252,0.04885525171808425,-0.056310275780222074,0.027004849354460125,0.6471128960505883,True,4,"blending, eowpvt, rowpvt, aptinfo, erbnw","blending, eowpvt",-
lrp-rli-gbg-011,ok,4b04455a,False,huber,12.367232704402516,201,0.2861443074162634,13.696375206868382,9.125334156525016,0.859747364364228,"spphon, ewrswr, rowpvt, aptgram, erbnw",-,6,"aptgram, ewrswr, rowpvt, spphon",238,0.19368501835876561,14.556360271518242,8.6918200115763,0.5860782949080894,0.09245928905749778,-0.8599850646498606,0.433514144948715,0.6042780748663102,True,4,"spphon, ewrswr, aptgram, rowpvt, age","ewrswr, spphon",-
lrp-rli-gbg-012,ok,4b04455a,False,huber,3.9881939999999996,81,0.12694937293798236,4.056081342729163,3.017518846252952,0.36330684467339036,"age, eowpvt, hearing, blending, celf",-,2,"age, eowpvt",193,0.08298999800000773,4.156942124059371,2.9811969860453247,0.29977934698354025,0.04395937493797464,-0.1008607813302076,0.0363218602076274,0.7586725976245221,True,2,"age, yarclet, b1exto, trog, hearing","age, yarclet",-
lrp-rli-gbg-013,ok,4b04455a,False,huber,1.9940969999999998,1191,0.25823165094305445,1.425377885892763,1.0144603826287522,0.5009976498145455,"nonword, ewrswr, erbnw, age, erbword",-,3,"erbnw, ewrswr, nonword",109,0.2669658645565115,1.4169612284312874,0.9871044917698183,0.5160055528197984,-0.008734213613457054,0.008416657461475685,0.027355890858933862,0.6016545521131503,True,3,"nonword, erbnw, ewrswr, yarclet, spphon","erbnw, ewrswr, nonword",-
lrp-rli-gbg-014,ok,4b04455a,False,huber,3.9881939999999996,58,0.3120983269479466,2.6545846907401103,2.036752907803544,0.9093937093790126,"celf, blending, trog, b1exto, deappfi",-,4,"blending, celf, trog",27,0.21697897907711006,2.8321751847506578,2.179044749627434,0.6469182102572224,0.09511934787083653,-0.1775904940105475,-0.14229184182389032,0.24298128342245992,True,1,"celf, ewrswr, aptgram, spphon, agebooks",celf,-
lrp-rli-gbg-015,ok,4b04455a,False,huber,5.982290999999999,12,0.1680218786079758,3.8183526763167923,3.0497032199805276,0.3818251017203974,"trog, celf, eowpvt, age, b1exto",-,4,"celf, trog",19,0.15446749456937703,3.8493308477529533,3.119481113286106,0.4148361099792981,0.013554384038598766,-0.030978171436160995,-0.0697778933055786,0.5704969380682355,True,4,"trog, eowpvt, celf, mumedupost16, age","celf, trog",b1exto:->+
lrp-rli-gbg-016,ok,4b04455a,False,huber,12.692427405000009,57,0.1047352745458564,12.543173737285096,8.32405034000387,0.21973197434124725,"deappfi, ewrswr, b1reto, deappin, deappvo",-,2,"deappfi, ewrswr",44,0.10250444067337205,12.558791646940321,8.35441220800038,0.22320048445700724,0.00223083387248435,-0.015617909655224693,-0.030361867996509417,0.23568831145273725,True,2,"deappfi, deappin, agebooks, dadedupost16, erbword",deappfi,-
lrp-rli-gbg-017,ok,4b04455a,False,huber,3.9881939999999996,22,0.14329454805416664,2.917333635324865,2.2892683685080253,0.5697021256610193,"erbnw, ewrswr, yarclet, rowpvt, erbword",-,3,erbnw,3,0.11621866763027544,2.963075693020406,2.292604483776218,0.2866599811392474,0.027075880423891197,-0.04574205769554096,-0.003336115268192774,0.23035775276111178,True,2,"erbnw, erbword, b1reto, age, mumedupost16",erbnw,ewrswr:->+
lrp-rli-gbg-018,ok,4b04455a,False,huber,1.9940969999999998,95,0.15582037410477156,2.6415966573313754,1.832854908195116,0.39102498545326814,"erbword, deappfi, ewrswr, b1reto, agebooks",-,3,"deappfi, erbword",51,0.1424396529432379,2.6624497441926374,1.827029818724992,0.33431264534563143,0.01338072116153366,-0.02085308686126197,0.005825089470123945,0.7864304812834225,True,4,"erbword, deappfi, b1reto, mumedupost16, ewrswr","deappfi, erbword",yarcsi:->+
lrp-rli-gbg-019,ok,4b04455a,False,huber,5.982290999999999,76,0.06231835594723312,4.678471892449446,3.5896402653276422,0.289553795694384,"erbnw, erbto, deappfi, eowpvt, aptinfo",-,2,"erbnw, erbto",10,0.12107818348400812,4.529512262744053,3.4867992059541617,0.19043193812529702,-0.058759827536775,0.14895962970539323,0.10284105937348054,0.47891198044009775,True,4,"erbnw, erbto, deappfi, age, eowpvt","deappfi, erbnw, erbto",area:->+
lrp-rli-gbg-020,ok,4b04455a,False,huber,8.385177885000003,33,0.08244303026567423,6.2069046604460105,4.865564105411202,0.38230654818089027,"deappin, deappfi, b1reto, aptgram, erbword",-,3,"b1reto, deappfi, deappin",65,0.05482265692544386,6.299632380471674,4.881617805674465,0.29074707508928976,0.027620373340230375,-0.0927277200256631,-0.016053700263262805,0.23763368983957223,True,2,"deappin, b1reto, rowpvt, blending, nonword",deappin,-
